"Customer Name",TotalSales,"Customer ID"
"Katrina Willman",26499.12000000001,KW-16435
"Arthur Gainer",27064.747000000003,AG-10900
"Russell Applegate",28688.117000000013,RA-19915
"Alejandro Savely",19273.671999999995,AS-10285
"Laura Armstrong",51789.17200000004,LA-16780
"Dean Katz",24755.044,DK-13225
"Anna Gayman",20934.339599999996,AG-10675
"Luke Foster",23583.108999999993,LF-17185
"Keith Herrera",35717.159,KH-16510
"Caroline Jumper",66478.442,CJ-12010
"Sung Pak",24171.437999999987,SP-20860
"Joel Eaton",38402.704999999994,JE-15745
"Michael Paige",23901.891999999996,MP-17965
"Natalie Fritzler",49936.92599999998,NF-18385
"Shirley Daniels",35521.45799999997,SD-20485
"Ken Heidel",23513.76600000001,KH-16630
"Ross Baird",33799.866,RB-19795
"Dave Brooks",25591.793999999987,DB-13060
"Philisse Overcash",29358.293,PO-19180
"Brenda Bowman",40594.37800000002,BB-11545
"Pete Kriz",48951.90400000001,PK-19075
"Raymond Buch",90704.08899999998,RB-19360
"Ed Braxton",20689.624,EB-13705
"Ken Heidel",23513.76600000001,KH-16630
"Sanjit Chand",84854.03399999999,SC-20095
"Natalie Fritzler",49936.92599999998,NF-18385
"Joseph Holt",47729.948,JH-15985
"Tanja Norvell",18781.370999999996,TN-21040
"David Smith",17290.812799999992,DS-13180
"Jeremy Pistek",21437.644000000004,JP-15520
"Kristen Hastings",35207.109,KH-16690
"Sue Ann Reed",28251.12549999999,SA-20830
"Rose O'Brian",22892.82799999999,RO-19780
"Maribeth Dona",22598.382,MD-17350
"Sanjit Chand",84854.03399999999,SC-20095
"Ed Braxton",20689.624,EB-13705
"Christopher Martinez",53724.069999999956,CM-12385
"Luke Foster",23583.108999999993,LF-17185
"Alan Dominguez",36605.99999999999,AD-10180
"Brian Dahlen",19730.871,BD-11605
"Mike Gockenbach",17343.541,MG-18145
"Karen Bern",18915.664999999997,KB-16240
"Rob Lucas",37409.459999999985,RL-19615
"Emily Phan",32868.36079999999,EP-13915
"Mark Packer",19236.731999999993,MP-17470
"Bradley Drucker",26449.79699999999,BD-11500
"Erin Smith",27891.115999999987,ES-14080
"Dean Katz",24755.044,DK-13225
"Bill Donatelli",34033.070999999996,BD-11320
"Greg Tran",70920.71999999996,GT-14710
"Dean Katz",24755.044,DK-13225
"Olvera Toch",22911.724,OT-18730
"Cynthia Arntzen",18249.465999999993,CA-12775
"Frank Preis",24280.495999999996,FP-14320
"Ellis Ballard",26067.058,EB-13840
"Sarah Foster",20536.686,SF-20200
"Carlos Soltero",18166.45499999999,CS-11950
"Dianna Vittorini",19715.886999999995,DV-13465
"Zuschuss Carroll",48126.785,ZC-21910
"Lena Radford",30857.341999999975,LR-16915
"Theone Pippenger",26724.356,TP-21130
"Chloris Kastensmidt",18929.004999999997,CK-12205
"Sylvia Foulston",19841.221000000005,SF-20965
"Annie Thurman",22991.21399999998,AT-10735
"Brian Dahlen",19730.871,BD-11605
"Rick Bensley",27339.415999999997,RB-19465
"Justin Deggeller",52968.23049999999,JD-16150
"John Lee",56418.10300000005,JL-15835
"Sean Christensen",23826.364000000005,SC-20305
"Tamara Willingham",30987.725999999984,TW-21025
"Chuck Clark",17220.299999999985,CC-12430
"Anthony Rawles",27139.985999999986,AR-10825
"Steven Roelle",26075.286000000007,SR-20740
"Eugene Hildebrand",18078.853000000003,EH-14125
"Cassandra Brandow",36169.42700000001,CB-12025
"Resi Pölking",30852.73999999997,RP-19390
"Doug Jacobs",20138.398,DJ-13630
"Grant Thornton",56107.212,GT-14635
"Michael Chen",22834.263999999992,MC-17845
"Naresj Patel",33177.72000000001,NP-18325
"Alejandro Savely",19273.671999999995,AS-10285
"Tracy Hopkins",25377.35599999999,TH-21550
"Arthur Prichep",19941.305999999975,AP-10915
"Roland Schwarz",22991.580000000005,RS-19765
"Seth Vernon",68523.84600000002,SV-20365
"Kelly Collister",23449.612,KC-16540
"Christine Kargatis",17637.606000000003,CK-12325
"Michael Paige",23901.891999999996,MP-17965
"Gary Zandusky",26130.899999999987,GZ-14470
"Yoseph Carroll",32726.1,YC-21895
"Christine Phan",35329.77500000001,CP-12340
"Anthony Johnson",26348.941000000017,AJ-10795
"Clay Ludtke",65283.34599999998,CL-12565
"Liz Thompson",17617.552000000007,LT-17110
"Sue Ann Reed",28251.12549999999,SA-20830
"Joe Kamberova",28619.450000000004,JK-15730
"Erica Smith",21062.757999999998,ES-14020
"Rick Hansen",21728.275999999994,RH-19495
"David Bremer",17590.267999999996,DB-13120
"Helen Wasserman",55801.50399999999,HW-14935
"Helen Wasserman",55801.50399999999,HW-14935
"Gary McGarr",21496.920000000002,GM-14440
"Russell Applegate",28688.117000000013,RA-19915
"Zuschuss Carroll",48126.785,ZC-21910
"Bart Watters",28502.15799999999,BW-11110
"Cynthia Arntzen",18249.465999999993,CA-12775
"Patrick Gardner",18521.406999999992,PG-18820
"Greg Tran",70920.71999999996,GT-14710
"Joel Eaton",38402.704999999994,JE-15745
"Ed Braxton",20689.624,EB-13705
"Brian Moss",43702.86699999998,BM-11650
"Valerie Dominguez",37700.15399999999,VD-21670
"Greg Tran",70920.71999999996,GT-14710
"Sanjit Jacobs",22667.279999999984,SJ-20125
"Anthony Johnson",26348.941000000017,AJ-10795
"Anthony Jacobs",29204.043999999998,AJ-10780
"Tracy Blumstein",28383.72799999997,TB-21520
"Chuck Clark",17220.299999999985,CC-12430
"Gary Zandusky",26130.899999999987,GZ-14470
"Peter McVee",24693.961999999996,PM-19135
"Olvera Toch",22911.724,OT-18730
"Tracy Hopkins",25377.35599999999,TH-21550
"Hunter Lopez",77239.798,HL-15040
"Maribeth Schnelling",41089.809999999954,MS-17365
"Dave Brooks",25591.793999999987,DB-13060
"Bill Eplett",25228.076,BE-11335
"Sample Company A",27747.42200000001,SC-20050
"Brian Moss",43702.86699999998,BM-11650
"Kelly Lampkin",26902.633999999984,KL-16555
"Rob Williams",19641.900000000005,RW-19630
"Sanjit Engle",73256.638,SE-20110
"Adam Hart",19502.087,AH-10075
"Ruben Ausman",22993.91400000001,RA-19885
"Rob Williams",19641.900000000005,RW-19630
"Cynthia Arntzen",18249.465999999993,CA-12775
"Ross Baird",33799.866,RB-19795
"Katherine Hughes",18603.611999999997,KH-16360
"Joseph Airdo",38852.873999999974,JA-15970
"Daniel Lacy",19633.199999999997,DL-12925
"Lindsay Williams",19381.807999999986,LW-16990
"Maribeth Schnelling",41089.809999999954,MS-17365
"Bart Watters",28502.15799999999,BW-11110
"Robert Waldorf",20973.846,RW-19690
"Sara Luxemburg",18318.061999999994,SL-20155
"Mitch Willingham",31523.275999999998,MW-18235
"Rob Dowd",17477.393999999997,RD-19585
"Frank Merwin",22417.19800000001,FM-14290
"Rick Hansen",21728.275999999994,RH-19495
"Joe Kamberova",28619.450000000004,JK-15730
"Meg Tillman",17340.838999999996,MT-17815
"Annie Thurman",22991.21399999998,AT-10735
"John Stevenson",23208.07,JS-15880
"Greg Tran",70920.71999999996,GT-14710
"Laura Armstrong",51789.17200000004,LA-16780
"Noel Staavos",17788.923000000006,NS-18640
"Steve Nguyen",18767.8092,SN-20710
"Zuschuss Carroll",48126.785,ZC-21910
"Lena Creighton",44380.67400000002,LC-16885
"Deirdre Greer",19174.91799999999,DG-13300
"Ben Peterman",21661.743,BP-11185
"Matthew Grinstein",22711.676000000007,MG-17650
"Ross Baird",33799.866,RB-19795
"Karen Daniels",49694.158,KD-16270
"Craig Yedwab",17400.126000000004,CY-12745
"Lindsay Williams",19381.807999999986,LW-16990
"Naresj Patel",33177.72000000001,NP-18325
"Penelope Sewall",41061.78400000001,PS-19045
"Noel Staavos",17788.923000000006,NS-18640
"Paul Van Hugh",17256.29600000001,PV-18985
"Resi Pölking",30852.73999999997,RP-19390
"Russell Applegate",28688.117000000013,RA-19915
"Dionis Lloyd",21235.921999999995,DL-13495
"Christine Sundaresam",19212.962000000003,CS-12355
"Hunter Lopez",77239.798,HL-15040
"Brian Dahlen",19730.871,BD-11605
"Lena Radford",30857.341999999975,LR-16915
"Frank Hawley",25144.254000000015,FH-14275
"Arthur Prichep",19941.305999999975,AP-10915
"Claudia Bergmann",24741.11550000001,CB-12535
"Kelly Lampkin",26902.633999999984,KL-16555
"Penelope Sewall",41061.78400000001,PS-19045
"Alex Avila",33381.359999999986,AA-10315
"Kelly Collister",23449.612,KC-16540
"Liz Thompson",17617.552000000007,LT-17110
"Adam Bellavance",46396.06999999999,AB-10060
"Joel Eaton",38402.704999999994,JE-15745
"Dave Brooks",25591.793999999987,DB-13060
"Harold Ryan",31492.787,HR-14830
"Zuschuss Carroll",48126.785,ZC-21910
"Stefania Perrino",32641.91900000001,SP-20620
"Ben Ferrer",35447.82199999999,BF-11170
"Becky Martin",69659.45000000001,BM-11140
"Zuschuss Carroll",48126.785,ZC-21910
"Kean Thornton",27852.58839999999,KT-16480
"Patrick Gardner",18521.406999999992,PG-18820
"Greg Matthias",18981.778,GM-14680
"Patrick Gardner",18521.406999999992,PG-18820
"Nora Preis",47419.08250000001,NP-18700
"Doug Jacobs",20138.398,DJ-13630
"Irene Maddox",29582.924000000006,IM-15070
"Mick Hernandez",33018.54300000001,MH-18115
"Ross Baird",33799.866,RB-19795
"Suzanne McNair",33380.39200000002,SM-20950
"Christine Sundaresam",19212.962000000003,CS-12355
"Chris Cortes",23415.172,CC-12220
"Dan Campbell",20017.01799999999,DC-12850
"Sue Ann Reed",28251.12549999999,SA-20830
"Katrina Willman",26499.12000000001,KW-16435
"Alan Dominguez",36605.99999999999,AD-10180
"Chuck Clark",17220.299999999985,CC-12430
"Quincy Jones",36650.038000000015,QJ-19255
"Alex Avila",33381.359999999986,AA-10315
"Pete Kriz",48951.90400000001,PK-19075
"Henry Goldwyn",19105.074000000008,HG-14965
"Liz Preis",21920.398999999994,LP-17095
"Alan Dominguez",36605.99999999999,AD-10180
"Cathy Prescott",30984.602,CP-12085
"Aaron Smayling",18210.182000000008,AS-10045
"Aaron Smayling",18210.182000000008,AS-10045
"Lindsay Williams",19381.807999999986,LW-16990
"Dan Campbell",20017.01799999999,DC-12850
"Natalie DeCherney",25688.338999999996,ND-18370
"Kean Takahito",18342.600000000002,KT-16465
"Harry Marie",48893.04480000001,HM-14860
"Sam Zeldin",21554.633,SZ-20035
"Kunst Miller",29456.821999999986,KM-16720
"Valerie Dominguez",37700.15399999999,VD-21670
"Julie Kriz",17594.934,JK-16120
"Paul Prost",42455.51999999999,PP-18955
"Yana Sorensen",39927.00399999999,YS-21880
"Katherine Murray",33658.44599999999,KM-16375
"Gary Mitchum",18471.774,GM-14455
"Shirley Daniels",35521.45799999997,SD-20485
"Karen Daniels",49694.158,KD-16270
"Adrian Barton",86133.66100000001,AB-10105
"Sam Zeldin",21554.633,SZ-20035
"Jonathan Doherty",38738.755999999994,JD-15895
"Rick Wilson",44384.40099999998,RW-19540
"Damala Kotsonis",19521.183999999997,DK-12835
"Liz Thompson",17617.552000000007,LT-17110
"Irene Maddox",29582.924000000006,IM-15070
"Frank Preis",24280.495999999996,FP-14320
"Joel Eaton",38402.704999999994,JE-15745
"Bill Donatelli",34033.070999999996,BD-11320
"Michael Moore",22764.429999999997,MM-17920
"Pauline Webber",20729.465999999993,PW-19030
"Ken Lonsdale",84431.51700000004,KL-16645
"Shirley Daniels",35521.45799999997,SD-20485
"Mark Cousins",26592.837999999996,MC-17425
"Maria Etezadi",63815.51800000002,ME-17320
"Linda Cazamias",26886.962000000014,LC-16930
"Keith Dawkins",49087.45600000001,KD-16495
"Tracy Hopkins",25377.35599999999,TH-21550
"Damala Kotsonis",19521.183999999997,DK-12835
"Cindy Stewart",34140.40499999999,CS-12505
"Christine Phan",35329.77500000001,CP-12340
"Maxwell Schwartz",18831.432000000015,MS-17770
"Corinna Mitchell",38037.357599999996,CM-12655
"Dionis Lloyd",21235.921999999995,DL-13495
"Todd Sumrall",71315.221,TS-21370
"Jane Waco",46330.26400000002,JW-15220
"Andy Reiter",39650.69799999999,AR-10540
"Cindy Stewart",34140.40499999999,CS-12505
"Lindsay Shagiari",17931.923999999988,LS-16975
"Russell Applegate",28688.117000000013,RA-19915
"Arianne Irving",26254.73599999999,AI-10855
"Michael Chen",22834.263999999992,MC-17845
"Tom Boeckenhauer",54076.44199999998,TB-21400
"Gary Hwang",23554.44200000001,GH-14425
"Caroline Jumper",66478.442,CJ-12010
"Ellis Ballard",26067.058,EB-13840
"Mike Pelletier",30527.57,MP-18175
"Chloris Kastensmidt",18929.004999999997,CK-12205
"Deborah Brumfield",27729.95700000001,DB-13270
"Emily Phan",32868.36079999999,EP-13915
"Maria Etezadi",63815.51800000002,ME-17320
"Victoria Wilson",36676.202,VW-21775
"Christopher Schild",21911.158499999998,CS-12400
"Clay Ludtke",65283.34599999998,CL-12565
"Dianna Vittorini",19715.886999999995,DV-13465
"Adam Hart",19502.087,AH-10075
"Sanjit Chand",84854.03399999999,SC-20095
"Tonja Turnell",32188.807999999983,TT-21460
"Naresj Patel",33177.72000000001,NP-18325
"Muhammed Yedwab",24806.396000000008,MY-18295
"Rick Duston",22458.23,RD-19480
"Dennis Pardue",32884.37400000002,DP-13390
"Maribeth Dona",22598.382,MD-17350
"Cynthia Arntzen",18249.465999999993,CA-12775
"Yana Sorensen",39927.00399999999,YS-21880
"Julie Kriz",17594.934,JK-16120
"James Galang",38198.392,JG-15160
"Philisse Overcash",29358.293,PO-19180
"Clay Ludtke",65283.34599999998,CL-12565
"Natalie Webber",43404.114000000016,NW-18400
"Bill Stewart",20274.730000000003,BS-11380
"Fred Hopkins",40101.96,FH-14365
"Sarah Foster",20536.686,SF-20200
"Hunter Lopez",77239.798,HL-15040
"Quincy Jones",36650.038000000015,QJ-19255
"Michael Moore",22764.429999999997,MM-17920
"Rick Duston",22458.23,RD-19480
"Rob Dowd",17477.393999999997,RD-19585
"Shaun Weien",17529.244,SW-20455
"Sylvia Foulston",19841.221000000005,SF-20965
"Sean Braxton",48347.341000000015,SB-20290
"Claudia Bergmann",24741.11550000001,CB-12535
"Damala Kotsonis",19521.183999999997,DK-12835
"Arthur Gainer",27064.747000000003,AG-10900
"Steven Cartwright",31357.210000000014,SC-20725
"Natalie DeCherney",25688.338999999996,ND-18370
"Patrick Gardner",18521.406999999992,PG-18820
"Irene Maddox",29582.924000000006,IM-15070
"Jamie Kunitz",25669.019999999993,JK-15205
"Jeremy Pistek",21437.644000000004,JP-15520
"John Lee",56418.10300000005,JL-15835
"Keith Dawkins",49087.45600000001,KD-16495
"Anna Gayman",20934.339599999996,AG-10675
"David Bremer",17590.267999999996,DB-13120
"Emily Ducich",20909.470000000005,ED-13885
"Victoria Wilson",36676.202,VW-21775
"Tonja Turnell",32188.807999999983,TT-21460
"Sara Luxemburg",18318.061999999994,SL-20155
"Arthur Gainer",27064.747000000003,AG-10900
"Stewart Carmichael",26956.056999999993,SC-20770
"Muhammed Yedwab",24806.396000000008,MY-18295
"Claudia Bergmann",24741.11550000001,CB-12535
"Jim Epp",46529.82599999999,JE-15610
"Russell Applegate",28688.117000000013,RA-19915
"Resi Pölking",30852.73999999997,RP-19390
"Thomas Boland",21474.123999999996,TB-21175
"Jill Fjeld",25189.932000000015,JF-15565
"Joseph Airdo",38852.873999999974,JA-15970
"Grace Kelly",38983.67000000003,GK-14620
"Heather Kirkland",29266.783999999985,HK-14890
"Brian Thompson",19180.501999999993,BT-11680
"Stefania Perrino",32641.91900000001,SP-20620
"Sue Ann Reed",28251.12549999999,SA-20830
"Neil Ducich",17360.755,ND-18460
"Sara Luxemburg",18318.061999999994,SL-20155
"Aaron Smayling",18210.182000000008,AS-10045
"Katharine Harms",19877.213999999996,KH-16330
"Frank Atkinson",17904.303999999996,FA-14230
"Frank Hawley",25144.254000000015,FH-14275
"Gary McGarr",21496.920000000002,GM-14440
"Adam Hart",19502.087,AH-10075
"Mark Packer",19236.731999999993,MP-17470
"Caroline Jumper",66478.442,CJ-12010
"Luke Foster",23583.108999999993,LF-17185
"Chuck Clark",17220.299999999985,CC-12430
"Tracy Blumstein",28383.72799999997,TB-21520
"Dean Katz",24755.044,DK-13225
"Jeremy Pistek",21437.644000000004,JP-15520
"Adam Shillingsburg",19531.809999999998,AS-10090
"Amy Cox",33167.09599999999,AC-10450
"Damala Kotsonis",19521.183999999997,DK-12835
"Rick Wilson",44384.40099999998,RW-19540
"Stewart Carmichael",26956.056999999993,SC-20770
"Frank Hawley",25144.254000000015,FH-14275
"Edward Hooks",60035.830000000016,EH-13765
"Scot Coram",26231.757999999998,SC-20230
"Naresj Patel",33177.72000000001,NP-18325
"Greg Matthias",18981.778,GM-14680
"Rick Hansen",21728.275999999994,RH-19495
"Seth Vernon",68523.84600000002,SV-20365
"Joe Elijah",52033.06299999998,JE-15715
"Cathy Prescott",30984.602,CP-12085
"Robert Waldorf",20973.846,RW-19690
"Bill Donatelli",34033.070999999996,BD-11320
"Alan Schoenberger",25494.000000000007,AS-10225
"Kean Takahito",18342.600000000002,KT-16465
"Adam Shillingsburg",19531.809999999998,AS-10090
"Neil Ducich",17360.755,ND-18460
"Luke Weiss",32523.114000000005,LW-17215
"Sample Company A",27747.42200000001,SC-20050
"Rob Williams",19641.900000000005,RW-19630
"Anne McFarland",33923.16200000001,AM-10705
"Rick Huthwaite",41772.83999999998,RH-19510
"Carol Triggs",19451.397999999986,CT-11995
"Ed Braxton",20689.624,EB-13705
"Jane Waco",46330.26400000002,JW-15220
"Rick Duston",22458.23,RD-19480
"Theone Pippenger",26724.356,TP-21130
"Zuschuss Carroll",48126.785,ZC-21910
"Tamara Chand",114107.09799999998,TC-20980
"Deborah Brumfield",27729.95700000001,DB-13270
"Maribeth Schnelling",41089.809999999954,MS-17365
"Emily Ducich",20909.470000000005,ED-13885
"Irene Maddox",29582.924000000006,IM-15070
"Mark Packer",19236.731999999993,MP-17470
"Steve Nguyen",18767.8092,SN-20710
"Ruben Dartt",18803.524000000005,RD-19900
"Kean Thornton",27852.58839999999,KT-16480
"Brian Moss",43702.86699999998,BM-11650
"Henry Goldwyn",19105.074000000008,HG-14965
"Sandra Glassco",20439.481000000003,SG-20080
"Rob Williams",19641.900000000005,RW-19630
"Brian Stugart",19728.709999999995,BS-11665
"Julie Kriz",17594.934,JK-16120
"Randy Ferguson",19854.849999999995,RF-19345
"William Brown",36148.859999999986,WB-21850
"Grant Thornton",56107.212,GT-14635
"William Brown",36148.859999999986,WB-21850
"Andy Reiter",39650.69799999999,AR-10540
"Dan Reichenbach",37483.20599999999,DR-12880
"Ben Ferrer",35447.82199999999,BF-11170
"Dianna Vittorini",19715.886999999995,DV-13465
"Dianna Wilson",31541.098000000005,DW-13480
"Karen Ferguson",63625.56599999999,KF-16285
"Linda Cazamias",26886.962000000014,LC-16930
"Ivan Liston",30244.435999999987,IL-15100
"Lindsay Shagiari",17931.923999999988,LS-16975
"Caroline Jumper",66478.442,CJ-12010
"Heather Kirkland",29266.783999999985,HK-14890
"Ivan Liston",30244.435999999987,IL-15100
"Arthur Prichep",19941.305999999975,AP-10915
"Liz Thompson",17617.552000000007,LT-17110
"Steven Cartwright",31357.210000000014,SC-20725
"Maris LaWare",17529.05,ML-17410
"Dorothy Badders",23452.802799999998,DB-13555
"Dennis Kane",19910.936000000005,DK-13375
"Laura Armstrong",51789.17200000004,LA-16780
"Greg Matthias",18981.778,GM-14680
"Alex Avila",33381.359999999986,AA-10315
"Doug Jacobs",20138.398,DJ-13630
"Quincy Jones",36650.038000000015,QJ-19255
"Carol Triggs",19451.397999999986,CT-11995
"Rick Huthwaite",41772.83999999998,RH-19510
"Sanjit Jacobs",22667.279999999984,SJ-20125
"Toby Gnade",18350.271999999997,TG-21310
"Carol Triggs",19451.397999999986,CT-11995
"Julie Kriz",17594.934,JK-16120
"Henry Goldwyn",19105.074000000008,HG-14965
"Laura Armstrong",51789.17200000004,LA-16780
"Mitch Webber",32051.39999999999,MW-18220
"Sean Miller",150258.40000000008,SM-20320
"Tom Prescott",31973.904799999993,TP-21415
"Dean Katz",24755.044,DK-13225
"Jim Karlsson",22560.17799999999,JK-15625
"Sarah Foster",20536.686,SF-20200
"Christine Sundaresam",19212.962000000003,CS-12355
"Ricardo Sperren",19327.739999999998,RS-19420
"Quincy Jones",36650.038000000015,QJ-19255
"Valerie Dominguez",37700.15399999999,VD-21670
"Jeremy Lonsdale",18856.446000000007,JL-15505
"Dionis Lloyd",21235.921999999995,DL-13495
"Ben Peterman",21661.743,BP-11185
"Becky Castell",17602.026,BC-11125
"Bradley Drucker",26449.79699999999,BD-11500
"Helen Wasserman",55801.50399999999,HW-14935
"Justin Deggeller",52968.23049999999,JD-16150
"Laura Armstrong",51789.17200000004,LA-16780
"Robert Waldorf",20973.846,RW-19690
"Chris Cortes",23415.172,CC-12220
"Rick Hansen",21728.275999999994,RH-19495
"Jim Karlsson",22560.17799999999,JK-15625
"Gary Mitchum",18471.774,GM-14455
"Paul Van Hugh",17256.29600000001,PV-18985
"Liz Thompson",17617.552000000007,LT-17110
"Scott Cohen",22378.79299999999,SC-20260
"Christine Phan",35329.77500000001,CP-12340
"Adam Bellavance",46396.06999999999,AB-10060
"Kelly Lampkin",26902.633999999984,KL-16555
"Michael Paige",23901.891999999996,MP-17965
"Barry Französisch",17194.68600000001,BF-11020
"Theone Pippenger",26724.356,TP-21130
"Maxwell Schwartz",18831.432000000015,MS-17770
"Katherine Murray",33658.44599999999,KM-16375
"Dennis Kane",19910.936000000005,DK-13375
"Speros Goranitis",18701.875999999993,SG-20605
"Christine Sundaresam",19212.962000000003,CS-12355
"Nora Preis",47419.08250000001,NP-18700
"Sean Braxton",48347.341000000015,SB-20290
"Harry Marie",48893.04480000001,HM-14860
"Mike Gockenbach",17343.541,MG-18145
"Tamara Manning",17723.935999999998,TM-21010
"Bill Eplett",25228.076,BE-11335
"Joseph Airdo",38852.873999999974,JA-15970
"Paul Prost",42455.51999999999,PP-18955
"Linda Cazamias",26886.962000000014,LC-16930
"Ross Baird",33799.866,RB-19795
"Harry Marie",48893.04480000001,HM-14860
"Pierre Wener",23269.864999999994,PW-19240
"Shaun Weien",17529.244,SW-20455
"Anne McFarland",33923.16200000001,AM-10705
"Bill Donatelli",34033.070999999996,BD-11320
"Christopher Martinez",53724.069999999956,CM-12385
"Christopher Schild",21911.158499999998,CS-12400
"James Galang",38198.392,JG-15160
"Shahid Collister",35365.084,SC-20380
"Greg Maxwell",36299.76599999998,GM-14695
"Dan Campbell",20017.01799999999,DC-12850
"Alan Hwang",28832.093999999997,AH-10210
"Claudia Bergmann",24741.11550000001,CB-12535
"John Murray",45750.42599999998,JM-15865
"Kean Thornton",27852.58839999999,KT-16480
"Dan Campbell",20017.01799999999,DC-12850
"Ken Lonsdale",84431.51700000004,KL-16645
"Brenda Bowman",40594.37800000002,BB-11545
"Nora Preis",47419.08250000001,NP-18700
"Dionis Lloyd",21235.921999999995,DL-13495
"Seth Vernon",68523.84600000002,SV-20365
"Joel Eaton",38402.704999999994,JE-15745
"John Murray",45750.42599999998,JM-15865
"Adrian Barton",86133.66100000001,AB-10105
"Bart Watters",28502.15799999999,BW-11110
"Ben Peterman",21661.743,BP-11185
"Tamara Manning",17723.935999999998,TM-21010
"Harold Ryan",31492.787,HR-14830
"Sarah Foster",20536.686,SF-20200
"Stefania Perrino",32641.91900000001,SP-20620
"Dan Reichenbach",37483.20599999999,DR-12880
"Sean Miller",150258.40000000008,SM-20320
"Ruben Ausman",22993.91400000001,RA-19885
"Shirley Daniels",35521.45799999997,SD-20485
"Sanjit Engle",73256.638,SE-20110
"Roland Schwarz",22991.580000000005,RS-19765
"Brian Moss",43702.86699999998,BM-11650
"Maribeth Schnelling",41089.809999999954,MS-17365
"Tom Ashbrook",87573.71999999996,TA-21385
"Sean Braxton",48347.341000000015,SB-20290
"Ben Ferrer",35447.82199999999,BF-11170
"Tom Boeckenhauer",54076.44199999998,TB-21400
"Alan Schoenberger",25494.000000000007,AS-10225
"Pete Kriz",48951.90400000001,PK-19075
"Harold Ryan",31492.787,HR-14830
"Deirdre Greer",19174.91799999999,DG-13300
"Hunter Glantz",22141.683999999994,HG-15025
"Rick Reed",19813.561999999994,RR-19525
"Toby Carlisle",25571.102000000006,TC-21295
"Stewart Visinsky",24631.905000000013,SV-20785
"Mick Hernandez",33018.54300000001,MH-18115
"Carol Triggs",19451.397999999986,CT-11995
"Yoseph Carroll",32726.1,YC-21895
"Russell Applegate",28688.117000000013,RA-19915
"Sean Miller",150258.40000000008,SM-20320
