"Customer Name",TotalSales,SalesRank
"Thomas Seio",32226.64,102
"Andy Gerbode",8693.642000000002,525
"Sung Pak",24171.437999999987,171
"Nathan Mautz",38756.043999999994,62
"Frank Atkinson",17904.303999999996,280
"Grace Kelly",38983.67000000003,60
"Don Jones",15010.138,352
"Patrick O'Brill",44204.03419999999,48
"John Lucas",16351.505999999994,319
"Doug Bickford",11934.300000000001,439
"Alyssa Crouse",5349.360000000001,647
"Chad Sievert",5307.839999999999,650
"Clay Cheatham",683.0320000000002,778
"Tamara Dahlen",8607.348000000004,529
"Adam Bellavance",46396.06999999999,43
"Jeremy Lonsdale",18856.446000000007,260
"Heather Kirkland",29266.783999999985,121
"Victoria Brennan",12033.546000000002,437
"Katrina Willman",26499.12000000001,146
"Julia Dunbar",4172.642,689
"Michael Kennedy",13814.168000000005,383
"Guy Thornton",1358.5860000000002,762
"Arthur Gainer",27064.747000000003,138
"Muhammed MacIntyre",4652.464000000002,676
"Allen Rosenblatt",13416.728000000008,396
"Russell Applegate",28688.117000000013,125
"Alejandro Savely",19273.671999999995,248
"Laura Armstrong",51789.17200000004,29
"Denny Ordway",7183.861499999997,579
"Dean Katz",24755.044,165
"Nathan Gelder",8375.637999999999,539
"Mike Vittorini",10407.473999999998,474
"Jack Garza",14151.975999999995,376
"Bart Pistole",14397.29,367
"Victor Preis",5963.402,622
"Saphhira Shifley",7737.297999999999,560
"Harold Pawlan",11941.864,438
"Anna Gayman",20934.339599999996,216
"Luke Foster",23583.108999999993,177
"Stephanie Phelps",9591.065999999999,496
"Roy Französisch",5493.962000000001,641
"Keith Herrera",35717.159,81
"Kimberly Carter",6876.299999999999,589
"Caroline Jumper",66478.442,15
"Philip Brown",8741.7,523
"Victoria Brennan",12033.546000000002,437
"Sung Pak",24171.437999999987,171
"Joel Eaton",38402.704999999994,65
"Michael Paige",23901.891999999996,174
"Natalie Fritzler",49936.92599999998,31
"Janet Molinari",10824.846000000001,466
"Shirley Daniels",35521.45799999997,82
"Ken Heidel",23513.76600000001,180
"Ross Baird",33799.866,90
"Dave Brooks",25591.793999999987,157
"Mike Kennedy",6189.602,615
"Philisse Overcash",29358.293,120
"Brenda Bowman",40594.37800000002,56
"Cynthia Voltz",14221.9636,374
"Pete Kriz",48951.90400000001,35
"Troy Blackwell",8325.409,541
"Raymond Buch",90704.08899999998,3
"Ed Braxton",20689.624,219
"Ken Heidel",23513.76600000001,180
"Sanjit Chand",84854.03399999999,6
"Natalie Fritzler",49936.92599999998,31
"Joseph Holt",47729.948,39
"Tanja Norvell",18781.370999999996,263
"Joni Sundaresam",2814.9689999999996,723
"David Smith",17290.812799999992,296
"Craig Carreira",13618.151500000005,388
"Maya Herman",13222.678000000002,402
"Jeremy Pistek",21437.644000000004,212
"Kristen Hastings",35207.109,86
"Jeremy Ellison",8332.132,540
"John Grady",9042.117999999997,515
"Xylona Preis",13922.458000000004,382
"Erin Mull",1373.94,761
"Michelle Tran",7916.649800000001,554
"Sue Ann Reed",28251.12549999999,130
"Carl Weiss",6819.542000000001,591
"Astrea Jones",3775.498,705
"Sonia Sunley",2510.9400000000005,730
"Rose O'Brian",22892.82799999999,192
"Maribeth Dona",22598.382,198
"Sanjit Chand",84854.03399999999,6
"Maribeth Yedwab",13455.712000000003,394
"Ed Braxton",20689.624,219
"Christopher Martinez",53724.069999999956,26
"Lynn Smith",6048.836000000001,619
"Luke Foster",23583.108999999993,177
"Bradley Nguyen",8756.044000000002,522
"Alan Dominguez",36605.99999999999,76
"Dean Braden",13228.928999999996,401
"Matt Connell",13549.191999999994,390
"Logan Haushalter",9961.854999999996,486
"Brian Dahlen",19730.871,234
"Patricia Hirasaki",4377.897999999999,686
"Mike Gockenbach",17343.541,294
"Karen Bern",18915.664999999997,258
"Jasper Cacioppo",404.0349999999999,783
"Rob Lucas",37409.459999999985,73
"Allen Armold",6338.339999999998,607
"Emily Phan",32868.36079999999,98
"Mark Packer",19236.731999999993,249
"Darren Koutras",10122.19,482
"Bradley Drucker",26449.79699999999,147
"Erin Smith",27891.115999999987,131
"Liz MacKendrick",8080.673999999997,547
"Paul Gonzalez",11922.913999999992,440
"Adrian Shami",352.92,785
"Dean Katz",24755.044,165
"Bill Donatelli",34033.070999999996,88
"Ryan Crowe",5101.141999999998,660
"Greg Tran",70920.71999999996,12
"Dean Katz",24755.044,165
"Ashley Jarboe",11035.439999999997,460
"Olvera Toch",22911.724,191
"Liz Pelletier",4539.606000000001,679
"Cynthia Arntzen",18249.465999999993,274
"Jeremy Farry",6497.517999999998,600
"Frank Preis",24280.495999999996,170
"Ellis Ballard",26067.058,153
"Jennifer Ferguson",14228.698,373
"Sarah Foster",20536.686,220
"Trudy Glocke",12448.010999999999,428
"Carlos Soltero",18166.45499999999,276
"Charles Crestani",14829.900000000007,357
"Dianna Vittorini",19715.886999999995,236
"Bruce Degenhardt",9158.999999999998,511
"Zuschuss Carroll",48126.785,38
"Melanie Seite",2222.0480000000002,736
"Lena Radford",30857.341999999975,112
"Theone Pippenger",26724.356,143
"Chloris Kastensmidt",18929.004999999997,257
"Alan Shonely",3445.49,713
"Andrew Roberts",1589.2139999999997,755
"Nona Balk",11835.649,441
"Giulietta Dortch",11328.47,450
"Clytie Kelty",14236.499999999996,372
"Nat Gilpin",11217.430000000002,454
"Christina Anderson",15889.73719999999,331
"Sylvia Foulston",19841.221000000005,232
"Meg O'Connel",8377.973,538
"Annie Thurman",22991.21399999998,190
"Fred McMath",15139.565999999997,350
"Brian Dahlen",19730.871,234
"Denny Joy",12075.119999999999,436
"Max Engle",11450.703199999998,447
"Rick Bensley",27339.415999999997,136
"Justin Deggeller",52968.23049999999,27
"John Lee",56418.10300000005,21
"Sean Christensen",23826.364000000005,175
"Tamara Willingham",30987.725999999984,110
"Chuck Clark",17220.299999999985,298
"Barry Blumstein",4413.069999999998,685
"Anthony Rawles",27139.985999999986,137
"Steven Roelle",26075.286000000007,152
"Allen Rosenblatt",13416.728000000008,396
"Craig Reiter",9603.299999999997,495
"Eugene Hildebrand",18078.853000000003,277
"Cassandra Brandow",36169.42700000001,78
"Sibella Parks",7836.536,556
"Roy Collins",5798.459000000002,629
"Tiffany House",6133.250999999999,616
"Resi Pölking",30852.73999999997,113
"Meg O'Connel",8377.973,538
"Tamara Dahlen",8607.348000000004,529
"Rob Beeghly",2860.7520000000013,720
"Carol Darley",3689.8820000000005,707
"Doug Jacobs",20138.398,226
"Grant Thornton",56107.212,22
"Michael Chen",22834.263999999992,193
"Ralph Arnett",15636.432,334
"Naresj Patel",33177.72000000001,94
"Alan Barnes",6683.087999999998,594
"Jesus Ocampo",6530.207999999999,599
"Dorris liebe",4533.602000000001,680
"Alejandro Savely",19273.671999999995,248
"Jay Kimmel",16257.732000000007,322
"Brad Norvell",1591.8459999999995,754
"David Philippe",6351.716000000001,605
"Tracy Hopkins",25377.35599999999,160
"Arthur Prichep",19941.305999999975,228
"Roland Schwarz",22991.580000000005,189
"Dorris liebe",4533.602000000001,680
"Seth Vernon",68523.84600000002,14
"Kelly Collister",23449.612,182
"Christine Kargatis",17637.606000000003,284
"Ross DeVincentis",6825.665999999998,590
"Michael Paige",23901.891999999996,174
"Mathew Reese",3835.078000000001,704
"Steve Chapman",15458.408000000007,340
"Jay Fein",11471.043999999998,445
"Emily Grady",10992.119999999995,462
"Darrin Sayre",10573.262999999997,470
"Gary Zandusky",26130.899999999987,151
"Phillina Ober",6341.108,606
"Sung Shariari",5299.2699999999995,653
"Maya Herman",13222.678000000002,402
"Peter Bühler",4129.974,692
"Roland Fjeld",14047.795999999991,379
"Yoseph Carroll",32726.1,99
"Melanie Seite",2222.0480000000002,736
"Nona Balk",11835.649,441
"Debra Catini",7047.718000000001,584
"Christine Phan",35329.77500000001,85
"Andrew Roberts",1589.2139999999997,755
"Julie Creighton",5151.426,658
"Lisa Hazard",1909.3889999999997,744
"Chris Selesnick",16180.795999999997,324
"Anthony Johnson",26348.941000000017,148
"Laurel Elliston",8816.699999999997,519
"Benjamin Venier",9139.673,512
"Dan Lawera",8944.968,517
"Nick Zandusky",14929.960000000003,356
"Bryan Mills",8015.245999999999,550
"Erin Ashbrook",15964.974999999993,328
"Clay Ludtke",65283.34599999998,16
"Liz Thompson",17617.552000000007,285
"Sue Ann Reed",28251.12549999999,130
"Joe Kamberova",28619.450000000004,126
"Erica Smith",21062.757999999998,214
"Rick Hansen",21728.275999999994,207
"David Bremer",17590.267999999996,288
"Carlos Daly",12203.817999999994,434
"Helen Wasserman",55801.50399999999,23
"Helen Wasserman",55801.50399999999,23
"Mike Caudle",9491.948000000006,501
"Gary McGarr",21496.920000000002,210
"Russell Applegate",28688.117000000013,125
"Allen Armold",6338.339999999998,607
"Zuschuss Carroll",48126.785,38
"Pauline Johnson",10945.383999999998,464
"Bart Watters",28502.15799999999,128
"Dean Braden",13228.928999999996,401
"Cynthia Arntzen",18249.465999999993,274
"Toby Ritter",3870.4220000000005,701
"Patrick Gardner",18521.406999999992,267
"Greg Tran",70920.71999999996,12
"Joel Eaton",38402.704999999994,65
"Jennifer Braxton",10749.705,467
"Lisa Hazard",1909.3889999999997,744
"James Lanier",9429.122999999996,503
"Ed Braxton",20689.624,219
"Brian Moss",43702.86699999998,49
"Eudokia Martin",6246.241999999999,612
"Art Foster",5169.414999999999,656
"Cyma Kinney",9492.659,500
"Dave Poirier",12989.289999999997,415
"Valerie Dominguez",37700.15399999999,68
"Greg Tran",70920.71999999996,12
"Berenike Kampe",3954.888000000001,697
"Sanjit Jacobs",22667.279999999984,197
"Chuck Magee",1727.9900000000002,746
"Anthony Johnson",26348.941000000017,148
"Anthony Jacobs",29204.043999999998,122
"Linda Southworth",17071.62,303
"Guy Phonely",1330.8000000000002,763
"Paul Knutson",8646.901999999996,528
"Tracy Blumstein",28383.72799999997,129
"Sally Matthias",1398.784,760
"Guy Armstrong",5853.415999999999,623
"Chuck Clark",17220.299999999985,298
"Harold Pawlan",11941.864,438
"Dave Kipp",15903.307000000003,330
"Gary Zandusky",26130.899999999987,151
"Peter McVee",24693.961999999996,167
"Lauren Leatherbury",16447.203999999998,318
"Jill Stevenson",7090.383999999999,582
"Olvera Toch",22911.724,191
"Ed Ludwig",745.68,776
"Cyma Kinney",9492.659,500
"Jeremy Ellison",8332.132,540
"Tracy Hopkins",25377.35599999999,160
"Pamela Coakley",10992.413999999999,461
"Hunter Lopez",77239.798,8
"Maribeth Schnelling",41089.809999999954,54
"George Bell",8138.88,546
"Justin Ritter",13210.136000000002,404
"Tamara Dahlen",8607.348000000004,529
"Dave Brooks",25591.793999999987,157
"Logan Currie",15630.611999999992,335
"Patrick O'Donnell",14959.313999999995,354
"Bill Eplett",25228.076,161
"Sample Company A",27747.42200000001,133
"Brian Moss",43702.86699999998,49
"Kelly Lampkin",26902.633999999984,140
"Rob Williams",19641.900000000005,237
"Roy Collins",5798.459000000002,629
"Sanjit Engle",73256.638,9
"Adam Hart",19502.087,242
"Jessica Myrick",10400.693000000001,475
"Joel Jenkins",1170.0000000000002,766
"Alan Barnes",6683.087999999998,594
"Catherine Glotzbach",5085.9519999999975,661
"Ruben Ausman",22993.91400000001,188
"Rachel Payne",5727.845199999997,633
"Rob Williams",19641.900000000005,237
"John Lucas",16351.505999999994,319
"Cynthia Arntzen",18249.465999999993,274
"Ross Baird",33799.866,90
"Katherine Hughes",18603.611999999997,266
"Greg Hansen",881.6407999999999,772
"Scott Williamson",11799.900000000001,442
"Joseph Airdo",38852.873999999974,61
"Daniel Lacy",19633.199999999997,238
"Lindsay Williams",19381.807999999986,246
"Thomas Brumley",4897.024,666
"Cynthia Voltz",14221.9636,374
"Maribeth Schnelling",41089.809999999954,54
"Bryan Spruell",5696.580000000001,634
"Delfina Latchford",8676.365999999998,527
"Phillina Ober",6341.108,606
"Tamara Dahlen",8607.348000000004,529
"Bart Watters",28502.15799999999,128
"Robert Waldorf",20973.846,215
"Ken Brennan",5845.314000000001,624
"Emily Burns",16603.319000000003,315
"Tracy Zic",10243.685999999994,479
"Ann Steele",5000.448,663
"Toby Swindell",5830.384000000001,626
"John Grady",9042.117999999997,515
"Sara Luxemburg",18318.061999999994,273
"Troy Staebel",16811.284000000003,308
"Roland Fjeld",14047.795999999991,379
"Mitch Willingham",31523.275999999998,107
"Rob Dowd",17477.393999999997,291
"Frank Merwin",22417.19800000001,202
"Rick Hansen",21728.275999999994,207
"Ryan Akin",10121.572499999998,483
"Joe Kamberova",28619.450000000004,126
"Meg Tillman",17340.838999999996,295
"Annie Thurman",22991.21399999998,190
"Philip Fox",16620.000000000004,314
"John Stevenson",23208.07,186
"Meg O'Connel",8377.973,538
"Kalyca Meade",12805.447999999999,423
"Greg Tran",70920.71999999996,12
"Philip Brown",8741.7,523
"Hallie Redmond",7795.738000000003,559
"Deanra Eno",9530.764000000001,497
"Laura Armstrong",51789.17200000004,29
"Allen Goldenen",1205.6949999999997,765
"Ed Ludwig",745.68,776
"Jennifer Jackson",4255.027999999998,688
"Jennifer Halladay",1658.3350000000003,750
"Robert Dilbeck",16719.782000000007,311
"Mary O'Rourke",5534.937,640
"Noel Staavos",17788.923000000006,281
"Steve Nguyen",18767.8092,264
"Zuschuss Carroll",48126.785,38
"Lena Creighton",44380.67400000002,47
"Deirdre Greer",19174.91799999999,252
"Nicole Fjeld",12188.872000000003,435
"Ben Peterman",21661.743,208
"Matthew Grinstein",22711.676000000007,196
"Julia Dunbar",4172.642,689
"Theresa Swint",9409.494000000006,506
"Brian DeCherney",9228.709999999995,509
"Charles McCrossin",15199.913999999999,347
"Ross Baird",33799.866,90
"Skye Norling",11162.518,456
"Erica Hernandez",7317.130000000001,575
"Frank Olsen",15736.987999999998,332
"Maurice Satty",9680.351999999999,494
"Chad Cunningham",10591.379999999997,469
"Don Weiss",2064.480000000001,742
"Bill Tyler",13093.144000000002,409
"Karen Daniels",49694.158,32
"Lena Cacioppo",15157.131999999992,349
"Craig Yedwab",17400.126000000004,292
"Lindsay Williams",19381.807999999986,246
"Naresj Patel",33177.72000000001,94
"Brad Thomas",2491.196,731
"Penelope Sewall",41061.78400000001,55
"Noel Staavos",17788.923000000006,281
"Paul Van Hugh",17256.29600000001,297
"Resi Pölking",30852.73999999997,113
"Eric Hoffmann",4105.071,693
"Russell Applegate",28688.117000000013,125
"Dionis Lloyd",21235.921999999995,213
"Christine Sundaresam",19212.962000000003,250
"Hunter Lopez",77239.798,8
"Pete Armstrong",4376.458,687
"Brian Dahlen",19730.871,234
"Greg Guthrie",13296.007999999993,399
"Joni Sundaresam",2814.9689999999996,723
"Lena Radford",30857.341999999975,112
"Frank Hawley",25144.254000000015,163
"Arthur Prichep",19941.305999999975,228
"Nat Carroll",14768.453999999996,359
"Claudia Bergmann",24741.11550000001,166
"Kelly Lampkin",26902.633999999984,140
"Penelope Sewall",41061.78400000001,55
"George Bell",8138.88,546
"Alex Avila",33381.359999999986,92
"Larry Tron",1533.124,756
"Anne Pryor",9831.303999999996,491
"Paul MacIntyre",8432.402,536
"Kelly Collister",23449.612,182
"Delfina Latchford",8676.365999999998,527
"Scott Williamson",11799.900000000001,442
"Allen Armold",6338.339999999998,607
"Liz Thompson",17617.552000000007,285
"Adam Bellavance",46396.06999999999,43
"Alyssa Tate",7030.864,585
"Joel Eaton",38402.704999999994,65
"Cathy Armstrong",10078.324000000002,484
"Dave Brooks",25591.793999999987,157
"Rob Beeghly",2860.7520000000013,720
"Harold Ryan",31492.787,108
"Bradley Talbott",16106.991999999998,325
"Nat Gilpin",11217.430000000002,454
"Zuschuss Carroll",48126.785,38
"Linda Southworth",17071.62,303
"Larry Hughes",1724.576,747
"Steven Ward",4552.146000000001,678
"Stefania Perrino",32641.91900000001,100
"Ben Ferrer",35447.82199999999,83
"Becky Martin",69659.45000000001,13
"Zuschuss Carroll",48126.785,38
"Kean Thornton",27852.58839999999,132
"Brooke Gillingham",11245.071999999998,453
"Patrick Gardner",18521.406999999992,267
"Greg Matthias",18981.778,256
"Meg O'Connel",8377.973,538
"Patrick Gardner",18521.406999999992,267
"Eva Jacobs",15940.141000000007,329
"Nora Preis",47419.08250000001,40
"Doug Jacobs",20138.398,226
"Irene Maddox",29582.924000000006,117
"Mick Hernandez",33018.54300000001,96
"Ross Baird",33799.866,90
"Jocasta Rupert",5183.28,655
"Suzanne McNair",33380.39200000002,93
"Christine Sundaresam",19212.962000000003,250
"Chris Cortes",23415.172,183
"Phillip Flathmann",13236.727999999992,400
"Julie Creighton",5151.426,658
"Brooke Gillingham",11245.071999999998,453
"Dan Campbell",20017.01799999999,227
"Sibella Parks",7836.536,556
"Maurice Satty",9680.351999999999,494
"Bryan Davis",3950.766,698
"Karen Carlisle",12622.983999999995,425
"Toby Ritter",3870.4220000000005,701
"Sue Ann Reed",28251.12549999999,130
"Katrina Willman",26499.12000000001,146
"Gene McClure",7534.081999999998,567
"Alan Dominguez",36605.99999999999,76
"Todd Boyes",4932.835999999999,664
"Chuck Clark",17220.299999999985,298
"Philip Fox",16620.000000000004,314
"Justin Hirsh",13538.344000000001,391
"Erica Bern",9859.555,490
"Quincy Jones",36650.038000000015,75
"Alex Avila",33381.359999999986,92
"Logan Currie",15630.611999999992,335
"Tracy Collins",4155.068000000001,691
"Chuck Sachs",3303.8439999999996,716
"Bryan Mills",8015.245999999999,550
"Roy Collins",5798.459000000002,629
"Fred McMath",15139.565999999997,350
"Pete Kriz",48951.90400000001,35
"Henry Goldwyn",19105.074000000008,254
"Helen Andreada",15505.008000000013,339
"Laurel Workman",13428.360999999997,395
"Matt Collins",5553.365000000002,638
"Liz Preis",21920.398999999994,205
"Evan Bailliet",7117.9760000000015,581
"George Zrebassa",14727.722000000007,363
"Laurel Elliston",8816.699999999997,519
"Alan Dominguez",36605.99999999999,76
"Cathy Prescott",30984.602,111
"Frank Gastineau",8298.793999999996,542
"Lisa DeCherney",11771.584000000003,443
"Alejandro Ballentine",5388.484,646
"Michael Nguyen",14814.241999999998,358
"Harold Pawlan",11941.864,438
"Jim Radford",6939.957999999999,586
"Jamie Frazer",13677.535999999998,386
"Chad McGuire",9863.82,489
"Aaron Smayling",18210.182000000008,275
"Karl Braun",9416.714000000004,505
"Bradley Nguyen",8756.044000000002,522
"Beth Paige",14302.797,369
"Aaron Smayling",18210.182000000008,275
"Lindsay Williams",19381.807999999986,246
"Dan Campbell",20017.01799999999,227
"Natalie DeCherney",25688.338999999996,154
"Larry Blacks",301.13800000000003,786
"Kean Takahito",18342.600000000002,271
"Harry Marie",48893.04480000001,36
"Ann Blume",9095.161999999997,514
"Sam Zeldin",21554.633,209
"Jim Radford",6939.957999999999,586
"Michael Granlund",4658.334,675
"Kunst Miller",29456.821999999986,119
"Christina Anderson",15889.73719999999,331
"Valerie Dominguez",37700.15399999999,68
"Julie Kriz",17594.934,287
"Paul Prost",42455.51999999999,52
"Yana Sorensen",39927.00399999999,58
"Cyma Kinney",9492.659,500
"Nat Carroll",14768.453999999996,359
"Katherine Murray",33658.44599999999,91
"Gary Mitchum",18471.774,268
"Shirley Daniels",35521.45799999997,82
"Karen Daniels",49694.158,32
"Adrian Barton",86133.66100000001,5
"Sam Zeldin",21554.633,209
"Jonathan Doherty",38738.755999999994,63
"Helen Abelman",12979.899999999998,416
"Beth Thompson",15405.955999999998,342
"Stuart Van",7626.540000000002,563
"Rick Wilson",44384.40099999998,46
"Damala Kotsonis",19521.183999999997,241
"Liz Thompson",17617.552000000007,285
"Irene Maddox",29582.924000000006,117
"Frank Preis",24280.495999999996,170
"Shui Tom",2600.039999999999,727
"Joel Eaton",38402.704999999994,65
"Bill Donatelli",34033.070999999996,88
"Michael Moore",22764.429999999997,194
"Pauline Webber",20729.465999999993,218
"Shaun Chance",11249.998,452
"Ken Lonsdale",84431.51700000004,7
"Shirley Daniels",35521.45799999997,82
"Theresa Swint",9409.494000000006,506
"Jennifer Braxton",10749.705,467
"Thais Sissman",29.032999999999998,793
"Mark Cousins",26592.837999999996,145
"Maria Etezadi",63815.51800000002,17
"Shaun Chance",11249.998,452
"Nicole Hansen",16039.740000000003,326
"Andrew Allen",10697.222,468
"Logan Currie",15630.611999999992,335
"Mick Brown",8569.431000000002,531
"Linda Cazamias",26886.962000000014,141
"Keith Dawkins",49087.45600000001,34
"Maria Bertelson",8563.975999999999,532
"Tracy Hopkins",25377.35599999999,160
"Damala Kotsonis",19521.183999999997,241
"Odella Nelson",9405.119999999997,507
"Katherine Nockton",15703.721999999994,333
"Neoma Murray",12740.097,424
"Nora Pelletier",7372.197999999999,573
"Catherine Glotzbach",5085.9519999999975,661
"Cindy Stewart",34140.40499999999,87
"Katherine Ducich",11333.764000000001,449
"Mike Kennedy",6189.602,615
"Don Weiss",2064.480000000001,742
"Christine Phan",35329.77500000001,85
"Maxwell Schwartz",18831.432000000015,261
"Corinna Mitchell",38037.357599999996,67
Corey-Lock,7800.476,558
"Dionis Lloyd",21235.921999999995,213
"Todd Sumrall",71315.221,11
"Jane Waco",46330.26400000002,44
"Roy Französisch",5493.962000000001,641
"John Dryer",12914.101999999997,418
"Neil Knudson",3432.2980000000002,714
"Nathan Gelder",8375.637999999999,539
"Alyssa Tate",7030.864,585
"Pauline Chand",6368.938,604
"Andy Reiter",39650.69799999999,59
"Cindy Stewart",34140.40499999999,87
"Lindsay Shagiari",17931.923999999988,278
"Jessica Myrick",10400.693000000001,475
"Nicole Hansen",16039.740000000003,326
"Russell Applegate",28688.117000000013,125
"Arianne Irving",26254.73599999999,149
"Michael Chen",22834.263999999992,193
"Tom Boeckenhauer",54076.44199999998,24
"Paul Lucas",1436.9310000000003,758
"Gary Hwang",23554.44200000001,178
"Caroline Jumper",66478.442,15
"Mike Caudle",9491.948000000006,501
"Benjamin Venier",9139.673,512
"Jeremy Farry",6497.517999999998,600
"Ellis Ballard",26067.058,153
"Mike Pelletier",30527.57,114
"Jim Mitchum",5189.697,654
"Carl Ludwig",6590.579999999996,597
"Chloris Kastensmidt",18929.004999999997,257
"Deborah Brumfield",27729.95700000001,134
"Pamela Coakley",10992.413999999999,461
"Victoria Brennan",12033.546000000002,437
"Emily Phan",32868.36079999999,98
"Maria Etezadi",63815.51800000002,17
"Ivan Gibson",4467.424,681
"Joni Sundaresam",2814.9689999999996,723
"Bobby Odegard",784.9800000000001,775
"Victoria Wilson",36676.202,74
