Row ID,Order ID,Customer Name,Segment,City,Region,Category,Sales,Subscription
37,CA-2016-117590,Gene Hale,Corporate,Richardson,Central,Furniture,,Premium
38,CA-2015-117415,Steve Nguyen,Home Office,Houston,Central,Office Supplies,113.328,Premium
39,CA-2015-117415,Steve Nguyen,Home Office,Houston,Central,Furniture,532.3992,Premium
40,CA-2015-117415,Steve Nguyen,Home Office,Houston,Central,Furniture,,Premium
41,CA-2015-117415,Steve Nguyen,Home Office,Houston,Central,Technology,371.168,Premium
42,CA-2017-120999,Linda Cazamias,Corporate,Naperville,Central,Technology,147.168,Premium
43,CA-2016-101343,Ruben Ausman,Corporate,Los Angeles,West,Office Supplies,77.88,Premium
44,CA-2017-139619,Erin Smith,Corporate,Melbourne,South,Office Supplies,,Premium
45,CA-2016-118255,Odella Nelson,Corporate,Eagan,Central,Technology,45.98,Premium
46,CA-2016-118255,Odella Nelson,Corporate,Eagan,Central,Office Supplies,17.46,Premium
47,CA-2014-146703,Patrick O'Donnell,Consumer,Westland,Central,Office Supplies,211.96,Premium
48,CA-2016-169194,Lena Hernandez,Consumer,Dover,East,Technology,45,Premium
49,CA-2016-169194,Lena Hernandez,Consumer,Dover,East,Technology,21.8,Premium
50,CA-2015-115742,Darren Powers,Consumer,New Albany,Central,Office Supplies,,Premium
51,CA-2015-115742,Darren Powers,Consumer,New Albany,Central,Office Supplies,75.18,Premium
52,CA-2015-115742,Darren Powers,Consumer,New Albany,Central,Furniture,6.16,Premium
53,CA-2015-115742,Darren Powers,Consumer,New Albany,Central,Furniture,89.99,Premium
54,CA-2016-105816,Janet Molinari,Corporate,New York City,East,Office Supplies,15.26,Premium
55,CA-2016-105816,Janet Molinari,Corporate,New York City,East,Technology,1029.95,Premium
56,CA-2016-111682,Ted Butterfield,Consumer,Troy,East,Office Supplies,208.56,Premium
57,CA-2016-111682,Ted Butterfield,Consumer,Troy,East,Office Supplies,32.4,Premium
58,CA-2016-111682,Ted Butterfield,Consumer,Troy,East,Furniture,319.41,Premium
59,CA-2016-111682,Ted Butterfield,Consumer,Troy,East,Office Supplies,14.56,Premium
60,CA-2016-111682,Ted Butterfield,Consumer,Troy,East,Technology,30,Premium
61,CA-2016-111682,Ted Butterfield,Consumer,Troy,East,Office Supplies,48.48,Premium
62,CA-2016-111682,Ted Butterfield,Consumer,Troy,East,Office Supplies,1.68,Premium
63,CA-2015-135545,Kunst Miller,Consumer,Los Angeles,West,Technology,13.98,Premium
64,CA-2015-135545,Kunst Miller,Consumer,Los Angeles,West,Office Supplies,25.824,Premium
65,CA-2015-135545,Kunst Miller,Consumer,Los Angeles,West,Office Supplies,146.73,Premium
66,CA-2015-135545,Kunst Miller,Consumer,Los Angeles,West,Furniture,79.76,Premium
67,US-2015-164175,Paul Stevenson,Home Office,Chicago,Central,Furniture,213.115,Premium
68,CA-2014-106376,Brendan Sweed,Corporate,Gilbert,West,Office Supplies,1113.024,Premium
69,CA-2014-106376,Brendan Sweed,Corporate,Gilbert,West,Technology,167.968,Premium
70,CA-2016-119823,Karen Daniels,Consumer,Springfield,South,Office Supplies,,Premium
71,CA-2016-106075,Henry MacAllister,Consumer,New York City,East,Office Supplies,4.616,Premium
72,CA-2017-114440,Tracy Blumstein,Consumer,Jackson,Central,Office Supplies,19.05,Premium
73,US-2015-134026,Joel Eaton,Consumer,Memphis,South,Furniture,831.936,Premium
74,US-2015-134026,Joel Eaton,Consumer,Memphis,South,Furniture,97.04,Premium
75,US-2015-134026,Joel Eaton,Consumer,Memphis,South,Office Supplies,,Premium
76,US-2017-118038,Ken Brennan,Corporate,Houston,Central,Office Supplies,1.248,Premium
77,US-2017-118038,Ken Brennan,Corporate,Houston,Central,Furniture,9.708,Premium
78,US-2017-118038,Ken Brennan,Corporate,Houston,Central,Office Supplies,27.24,Premium
79,US-2014-147606,Joel Eaton,Consumer,Houston,Central,Furniture,19.3,Premium
80,CA-2016-127208,Stewart Carmichael,Corporate,Decatur,South,Office Supplies,208.16,Premium
81,CA-2016-127208,Stewart Carmichael,Corporate,Decatur,South,Office Supplies,16.74,Premium
82,CA-2014-139451,Duane Noonan,Consumer,San Francisco,West,Office Supplies,14.9,Premium
83,CA-2014-139451,Duane Noonan,Consumer,San Francisco,West,Office Supplies,21.39,Premium
84,CA-2015-149734,Julie Creighton,Corporate,Durham,South,Office Supplies,200.984,Premium
85,US-2017-119662,Christopher Schild,Home Office,Chicago,Central,Office Supplies,230.376,Premium
86,CA-2017-140088,Patrick O'Donnell,Consumer,Columbia,South,Furniture,301.96,Premium
87,CA-2017-155558,Paul Gonzalez,Consumer,Rochester,Central,Technology,19.99,Premium
88,CA-2017-155558,Paul Gonzalez,Consumer,Rochester,Central,Office Supplies,null,Premium
89,CA-2016-159695,Gary Mitchum,Home Office,Houston,Central,Office Supplies,158.368,Premium
90,CA-2016-109806,Jim Sink,Corporate,Los Angeles,West,Office Supplies,20.1,Premium
91,CA-2016-109806,Jim Sink,Corporate,Los Angeles,West,Technology,73.584,Premium
92,CA-2016-109806,Jim Sink,Corporate,Los Angeles,West,Office Supplies,null,Premium
93,CA-2015-149587,Karl Braun,Consumer,Minneapolis,Central,Office Supplies,12.96,Premium
94,CA-2015-149587,Karl Braun,Consumer,Minneapolis,Central,Furniture,53.34,Premium
95,CA-2015-149587,Karl Braun,Consumer,Minneapolis,Central,Office Supplies,32.96,Premium
96,US-2017-109484,Roger Barcio,Home Office,Portland,West,Office Supplies,5.682,Premium
97,CA-2017-161018,Parhena Norris,Home Office,New York City,East,Furniture,96.53,Premium
98,CA-2017-157833,Katherine Ducich,Consumer,San Francisco,West,Office Supplies,51.312,Premium
99,CA-2016-149223,Elpida Rittenbach,Corporate,Saint Paul,Central,Office Supplies,77.88,Premium
100,CA-2016-158568,Rick Bensley,Home Office,Chicago,Central,Office Supplies,64.624,Premium
101,CA-2016-158568,Rick Bensley,Home Office,Chicago,Central,Technology,95.976,Premium
102,CA-2016-158568,Rick Bensley,Home Office,Chicago,Central,Office Supplies,1.788,Premium
103,CA-2016-129903,Gary Zandusky,Consumer,Rochester,Central,Office Supplies,23.92,Premium
104,US-2015-156867,Lena Cacioppo,Consumer,Aurora,West,Technology,238.896,Premium
105,US-2015-156867,Lena Cacioppo,Consumer,Aurora,West,Furniture,102.36,Premium
106,US-2015-156867,Lena Cacioppo,Consumer,Aurora,West,Office Supplies,36.882,Premium
107,CA-2017-119004,Janet Martin,Consumer,Charlotte,South,Technology,74.112,Premium
108,CA-2017-119004,Janet Martin,Consumer,Charlotte,South,Technology,27.992,Premium
109,CA-2017-119004,Janet Martin,Consumer,Charlotte,South,Office Supplies,3.304,Premium
110,CA-2015-129476,Pete Armstrong,Home Office,Orland Park,Central,Technology,,Premium
110,CA-2015-129476,Pete Armstrong,Home Office,Orland Park,Central,Technology,,Premium
111,CA-2017-146780,Cynthia Voltz,Corporate,New York City,East,Furniture,41.96,Premium
111,CA-2017-146780,Cynthia Voltz,Corporate,New York City,East,Furniture,42.96,Premium
112,CA-2016-128867,Clay Ludtke,Consumer,Urbandale,Central,Office Supplies,75.96,Premium
113,CA-2016-128867,Clay Ludtke,Consumer,Urbandale,Central,Office Supplies,27.24,Premium
114,CA-2014-115259,Ryan Crowe,Consumer,Columbus,East,Office Supplies,40.096,Premium
115,CA-2014-115259,Ryan Crowe,Consumer,Columbus,East,Office Supplies,4.72,Premium
116,CA-2014-115259,Ryan Crowe,Consumer,Columbus,East,Office Supplies,23.976,Premium
117,CA-2014-115259,Ryan Crowe,Consumer,Columbus,East,Office Supplies,130.464,Premium
118,CA-2015-110457,Dave Kipp,Consumer,Seattle,West,Furniture,787.53,Premium
119,US-2015-136476,Greg Guthrie,Corporate,Bristol,South,Office Supplies,157.794,Premium
120,CA-2016-103730,Steven Cartwright,Consumer,Wilmington,East,Furniture,,Premium
121,CA-2016-103730,Steven Cartwright,Consumer,Wilmington,East,Office Supplies,30.84,Premium
122,CA-2016-103730,Steven Cartwright,Consumer,Wilmington,East,Office Supplies,226.56,Premium
123,CA-2016-103730,Steven Cartwright,Consumer,Wilmington,East,Office Supplies,115.02,Premium
124,CA-2016-103730,Steven Cartwright,Consumer,Wilmington,East,Technology,68.04,Premium
125,US-2014-152030,Alan Dominguez,Home Office,Houston,Central,Furniture,600.558,Premium
126,US-2014-134614,Philip Fox,Consumer,Bloomington,Central,Furniture,,Premium
127,US-2017-107272,Troy Staebel,Consumer,Phoenix,West,Office Supplies,2.388,Premium
128,US-2017-107272,Troy Staebel,Consumer,Phoenix,West,Office Supplies,243.992,Premium
129,US-2016-125969,Lindsay Shagiari,Home Office,Los Angeles,West,Furniture,81.424,Premium
130,US-2016-125969,Lindsay Shagiari,Home Office,Los Angeles,West,Furniture,238.56,Premium
131,US-2017-164147,Dorothy Wardle,Corporate,Columbus,East,Technology,59.97,Premium
132,US-2017-164147,Dorothy Wardle,Corporate,Columbus,East,Office Supplies,78.304,Premium
133,US-2017-164147,Dorothy Wardle,Corporate,Columbus,East,Office Supplies,21.456,Premium
134,CA-2016-145583,Lena Creighton,Consumer,Roseville,West,Office Supplies,20.04,Premium
135,CA-2016-145583,Lena Creighton,Consumer,Roseville,West,Office Supplies,35.44,Premium
136,CA-2016-145583,Lena Creighton,Consumer,Roseville,West,Office Supplies,11.52,Premium
137,CA-2016-145583,Lena Creighton,Consumer,Roseville,West,Office Supplies,4.02,Premium
138,CA-2016-145583,Lena Creighton,Consumer,Roseville,West,Office Supplies,76.176,Premium
139,CA-2016-145583,Lena Creighton,Consumer,Roseville,West,Office Supplies,65.88,Premium
140,CA-2016-145583,Lena Creighton,Consumer,Roseville,West,Furniture,43.12,Premium
141,CA-2016-110366,Jonathan Doherty,Corporate,Philadelphia,East,Furniture,82.8,Premium
142,CA-2017-106180,Sally Hughsby,Corporate,San Francisco,West,Office Supplies,8.82,Premium
143,CA-2017-106180,Sally Hughsby,Corporate,San Francisco,West,Office Supplies,10.86,Premium
144,CA-2017-106180,Sally Hughsby,Corporate,San Francisco,West,Office Supplies,143.7,Premium
145,CA-2017-155376,Sandra Glassco,Consumer,Independence,Central,Office Supplies,839.43,Premium
146,CA-2015-110744,Helen Andreada,Consumer,Pasadena,West,Office Supplies,671.93,Premium
147,CA-2014-110072,Maureen Gastineau,Home Office,Newark,East,Furniture,93.888,Premium
148,CA-2016-114489,Justin Ellison,Corporate,Franklin,Central,Technology,384.45,Premium
149,CA-2016-114489,Justin Ellison,Corporate,Franklin,Central,Technology,149.97,Premium
150,CA-2016-114489,Justin Ellison,Corporate,Franklin,Central,Furniture,1951.84,Premium
151,CA-2016-114489,Justin Ellison,Corporate,Franklin,Central,Office Supplies,171.55,Premium
152,CA-2016-158834,Tamara Willingham,Home Office,Scottsdale,West,Office Supplies,157.92,Premium
153,CA-2016-158834,Tamara Willingham,Home Office,Scottsdale,West,Technology,203.184,Premium
154,CA-2015-124919,Stephanie Phelps,Corporate,San Jose,West,Office Supplies,58.38,Premium
155,CA-2015-124919,Stephanie Phelps,Corporate,San Jose,West,Office Supplies,105.52,Premium
156,CA-2015-124919,Stephanie Phelps,Corporate,San Jose,West,Office Supplies,80.88,Premium
157,CA-2015-118948,Neil Knudson,Home Office,Seattle,West,Office Supplies,6.63,Premium
158,CA-2014-104269,Dave Brooks,Consumer,Seattle,West,Furniture,457.568,Premium
159,CA-2016-114104,Nora Paige,Consumer,Edmond,Central,Office Supplies,14.62,Premium
160,CA-2016-114104,Nora Paige,Consumer,Edmond,Central,Technology,944.93,Premium
161,CA-2016-162733,Ted Trevino,Consumer,Los Angeles,West,Office Supplies,5.98,Premium
162,CA-2015-119697,Eric Murdock,Consumer,Philadelphia,East,Technology,54.384,Premium
163,CA-2016-154508,Ruben Dartt,Consumer,Carlsbad,West,Office Supplies,28.4,Premium
164,CA-2016-113817,Max Jones,Consumer,Seattle,West,Office Supplies,27.68,Premium
165,CA-2014-139892,Becky Martin,Consumer,San Antonio,Central,Office Supplies,9.936,Premium
166,CA-2014-139892,Becky Martin,Consumer,San Antonio,Central,Technology,8159.952,Premium
167,CA-2014-139892,Becky Martin,Consumer,San Antonio,Central,Office Supplies,275.928,Premium
168,CA-2014-139892,Becky Martin,Consumer,San Antonio,Central,Furniture,1740.06,Premium
169,CA-2014-139892,Becky Martin,Consumer,San Antonio,Central,Office Supplies,32.064,Premium
170,CA-2014-139892,Becky Martin,Consumer,San Antonio,Central,Office Supplies,177.98,Premium
171,CA-2014-139892,Becky Martin,Consumer,San Antonio,Central,Technology,143.976,Premium
172,CA-2014-118962,Chad Sievert,Consumer,Los Angeles,West,Office Supplies,20.94,Premium
173,CA-2014-118962,Chad Sievert,Consumer,Los Angeles,West,Office Supplies,110.96,Premium
174,CA-2014-118962,Chad Sievert,Consumer,Los Angeles,West,Furniture,340.144,Premium
175,US-2014-100853,Jennifer Braxton,Corporate,Chicago,Central,Office Supplies,52.448,Premium
176,US-2014-100853,Jennifer Braxton,Corporate,Chicago,Central,Office Supplies,20.16,Premium
177,US-2017-152366,Shirley Jackson,Consumer,Houston,Central,Office Supplies,97.264,Premium
178,US-2015-101511,Joel Eaton,Consumer,Newark,East,Furniture,396.802,Premium
179,US-2015-101511,Joel Eaton,Consumer,Newark,East,Office Supplies,15.88,Premium
180,CA-2015-137225,Jim Kriz,Home Office,New York City,East,Office Supplies,3.28,Premium
181,CA-2014-166191,David Kendrick,Corporate,Decatur,Central,Office Supplies,24.816,Premium
182,CA-2014-166191,David Kendrick,Corporate,Decatur,Central,Technology,408.744,Premium
183,CA-2014-158274,Robert Marley,Home Office,Monroe,South,Technology,503.96,Premium
184,CA-2014-158274,Robert Marley,Home Office,Monroe,South,Technology,149.95,Premium
185,CA-2014-158274,Robert Marley,Home Office,Monroe,South,Technology,29,Premium
186,CA-2016-105018,Sally Knutson,Consumer,Fairfield,East,Office Supplies,7.16,Premium
187,CA-2014-123260,Frank Merwin,Home Office,Los Angeles,West,Technology,176.8,Premium
188,CA-2016-157000,Alice McCarthy,Corporate,Grand Prairie,Central,Office Supplies,37.224,Premium
189,CA-2016-157000,Alice McCarthy,Corporate,Grand Prairie,Central,Office Supplies,20.016,Premium
190,CA-2015-102281,Mark Packer,Home Office,New York City,East,Furniture,899.136,Premium
191,CA-2015-102281,Mark Packer,Home Office,New York City,East,Technology,71.76,Premium
192,CA-2015-102281,Mark Packer,Home Office,New York City,East,Office Supplies,51.84,Premium
193,CA-2015-102281,Mark Packer,Home Office,New York City,East,Furniture,626.352,Premium
194,CA-2015-102281,Mark Packer,Home Office,New York City,East,Office Supplies,19.9,Premium
195,CA-2015-131457,Mary Zewe,Corporate,Redlands,West,Office Supplies,14.28,Premium
196,CA-2014-140004,Cassandra Brandow,Consumer,Hamilton,East,Office Supplies,7.408,Premium
197,CA-2014-140004,Cassandra Brandow,Consumer,Hamilton,East,Office Supplies,6.048,Premium
198,CA-2017-107720,Valerie Mitchum,Home Office,Westfield,East,Office Supplies,46.26,Premium
199,US-2017-124303,Fred Hopkins,Corporate,Philadelphia,East,Office Supplies,2.946,Premium
200,US-2017-124303,Fred Hopkins,Corporate,Philadelphia,East,Office Supplies,16.056,Premium
201,CA-2017-105074,Maria Bertelson,Consumer,Akron,East,Office Supplies,21.744,Premium
202,CA-2014-133690,Bruce Stewart,Consumer,Denver,West,Furniture,218.75,Premium
203,CA-2014-133690,Bruce Stewart,Consumer,Denver,West,Office Supplies,2.6,Premium
204,US-2017-116701,Logan Currie,Consumer,Dallas,Central,Office Supplies,66.284,Premium
205,CA-2017-126382,Heather Kirkland,Corporate,Franklin,South,Furniture,35.168,Premium
206,CA-2017-108329,Laurel Elliston,Consumer,Whittier,West,Technology,444.768,Premium
207,CA-2017-135860,Joseph Holt,Consumer,Saginaw,Central,Office Supplies,83.92,Premium
208,CA-2017-135860,Joseph Holt,Consumer,Saginaw,Central,Technology,131.98,Premium
209,CA-2017-135860,Joseph Holt,Consumer,Saginaw,Central,Office Supplies,15.92,Premium
210,CA-2017-135860,Joseph Holt,Consumer,Saginaw,Central,Office Supplies,52.29,Premium
211,CA-2017-135860,Joseph Holt,Consumer,Saginaw,Central,Office Supplies,91.99,Premium
212,CA-2015-101007,Michael Stewart,Corporate,Dallas,Central,Technology,20.8,Premium
213,CA-2015-146262,Victoria Wilson,Corporate,Medina,East,Office Supplies,23.68,Premium
214,CA-2015-146262,Victoria Wilson,Corporate,Medina,East,Furniture,452.45,Premium
215,CA-2015-146262,Victoria Wilson,Corporate,Medina,East,Technology,62.982,Premium
216,CA-2015-146262,Victoria Wilson,Corporate,Medina,East,Technology,1188,Premium
217,CA-2015-146262,Victoria Wilson,Corporate,Medina,East,Technology,89.584,Premium
218,CA-2016-130162,Jonathan Howell,Consumer,Los Angeles,West,Office Supplies,93.06,Premium
219,CA-2016-130162,Jonathan Howell,Consumer,Los Angeles,West,Technology,302.376,Premium
220,CA-2015-169397,Joni Blumstein,Consumer,Dublin,East,Office Supplies,5.584,Premium
221,CA-2015-169397,Joni Blumstein,Consumer,Dublin,East,Office Supplies,22.704,Premium
222,CA-2015-169397,Joni Blumstein,Consumer,Dublin,East,Office Supplies,19.776,Premium
223,CA-2015-169397,Joni Blumstein,Consumer,Dublin,East,Furniture,72.704,Premium
224,CA-2015-169397,Joni Blumstein,Consumer,Dublin,East,Technology,479.988,Premium
225,CA-2015-169397,Joni Blumstein,Consumer,Dublin,East,Office Supplies,27.168,Premium
226,CA-2015-163055,David Smith,Corporate,Detroit,Central,Office Supplies,2.2,Premium
227,CA-2015-163055,David Smith,Corporate,Detroit,Central,Furniture,622.45,Premium
228,CA-2015-163055,David Smith,Corporate,Detroit,Central,Office Supplies,21.98,Premium
229,US-2015-145436,Valerie Dominguez,Consumer,Columbia,South,Furniture,161.568,Premium
230,US-2015-145436,Valerie Dominguez,Consumer,Columbia,South,Furniture,389.696,Premium
231,US-2014-156216,Erin Ashbrook,Corporate,Charlotte,South,Office Supplies,18.648,Premium
232,US-2017-100930,Christopher Schild,Home Office,Tampa,South,Furniture,233.86,Premium
233,US-2017-100930,Christopher Schild,Home Office,Tampa,South,Furniture,620.6145,Premium
234,US-2017-100930,Christopher Schild,Home Office,Tampa,South,Office Supplies,,Premium
235,US-2017-100930,Christopher Schild,Home Office,Tampa,South,Furniture,258.072,Premium
236,US-2017-100930,Christopher Schild,Home Office,Tampa,South,Technology,617.976,Premium
237,CA-2017-160514,David Bremer,Corporate,Santa Clara,West,Office Supplies,10.56,Premium
238,CA-2016-157749,Ken Lonsdale,Consumer,Chicago,Central,Office Supplies,,Premium
239,CA-2016-157749,Ken Lonsdale,Consumer,Chicago,Central,Furniture,419.68,Premium
240,CA-2016-157749,Ken Lonsdale,Consumer,Chicago,Central,Furniture,11.688,Premium
241,CA-2016-157749,Ken Lonsdale,Consumer,Chicago,Central,Technology,31.984,Premium
242,CA-2016-157749,Ken Lonsdale,Consumer,Chicago,Central,Furniture,177.225,Premium
243,CA-2016-157749,Ken Lonsdale,Consumer,Chicago,Central,Furniture,,Premium
244,CA-2016-157749,Ken Lonsdale,Consumer,Chicago,Central,Office Supplies,7.408,Premium
245,CA-2014-131926,Dianna Wilson,Home Office,Lakeville,Central,Furniture,2001.86,Premium
246,CA-2014-131926,Dianna Wilson,Home Office,Lakeville,Central,Office Supplies,166.72,Premium
247,CA-2014-131926,Dianna Wilson,Home Office,Lakeville,Central,Office Supplies,,Premium
248,CA-2014-131926,Dianna Wilson,Home Office,Lakeville,Central,Office Supplies,1503.25,Premium
249,CA-2014-131926,Dianna Wilson,Home Office,Lakeville,Central,Office Supplies,25.92,Premium
250,CA-2016-154739,Logan Haushalter,Consumer,San Francisco,West,Furniture,321.568,Premium
251,CA-2016-145625,Kelly Collister,Consumer,San Diego,West,Office Supplies,7.61,Premium
252,CA-2016-145625,Kelly Collister,Consumer,San Diego,West,Technology,3347.37,Premium
253,CA-2016-146941,Delfina Latchford,Consumer,New York City,East,Office Supplies,80.58,Premium
254,CA-2016-146941,Delfina Latchford,Consumer,New York City,East,Office Supplies,361.92,Premium
255,US-2015-159982,Dan Reichenbach,Corporate,Chicago,Central,Furniture,12.132,Premium
256,US-2015-159982,Dan Reichenbach,Corporate,Chicago,Central,Office Supplies,82.368,Premium
257,US-2015-159982,Dan Reichenbach,Corporate,Chicago,Central,Office Supplies,53.92,Premium
258,US-2015-159982,Dan Reichenbach,Corporate,Chicago,Central,Technology,647.904,Premium
259,CA-2017-163139,Craig Carreira,Consumer,New York City,East,Technology,20.37,Premium
260,CA-2017-163139,Craig Carreira,Consumer,New York City,East,Office Supplies,221.55,Premium
261,CA-2017-163139,Craig Carreira,Consumer,New York City,East,Office Supplies,17.52,Premium
262,US-2017-155299,Dorris liebe,Corporate,Pasadena,Central,Office Supplies,1.624,Premium
263,US-2014-106992,Sean Braxton,Corporate,Houston,Central,Technology,,Premium
264,US-2014-106992,Sean Braxton,Corporate,Houston,Central,Technology,2519.958,Premium
265,CA-2016-125318,Roy Collins,Consumer,Chicago,Central,Technology,328.224,Premium
266,CA-2015-155040,Alan Hwang,Consumer,Brentwood,West,Technology,79.9,Premium
267,CA-2017-136826,Claudia Bergmann,Corporate,Chapel Hill,South,Office Supplies,14.016,Premium
268,CA-2016-111010,Paul Gonzalez,Consumer,Morristown,East,Office Supplies,7.56,Premium
269,US-2017-145366,Christine Abelman,Corporate,Cincinnati,East,Office Supplies,37.208,Premium
270,US-2017-145366,Christine Abelman,Corporate,Cincinnati,East,Office Supplies,57.576,Premium
271,CA-2017-163979,Kristen Hastings,Corporate,San Francisco,West,Office Supplies,725.84,Premium
272,CA-2015-155334,Helen Andreada,Consumer,San Francisco,West,Technology,209.93,Premium
273,CA-2015-155334,Helen Andreada,Consumer,San Francisco,West,Furniture,5.28,Premium
274,CA-2015-155334,Helen Andreada,Consumer,San Francisco,West,Office Supplies,10.92,Premium
275,CA-2017-118136,Barry Blumstein,Corporate,Inglewood,West,Office Supplies,8.82,Premium
276,CA-2017-118136,Barry Blumstein,Corporate,Inglewood,West,Office Supplies,5.98,Premium
277,CA-2017-132976,Andrew Gjertsen,Corporate,Philadelphia,East,Office Supplies,11.648,Premium
278,CA-2017-132976,Andrew Gjertsen,Corporate,Philadelphia,East,Office Supplies,18.176,Premium
279,CA-2017-132976,Andrew Gjertsen,Corporate,Philadelphia,East,Office Supplies,59.712,Premium
280,CA-2017-132976,Andrew Gjertsen,Corporate,Philadelphia,East,Office Supplies,24.84,Premium
281,US-2015-161991,Steven Cartwright,Consumer,Houston,Central,Office Supplies,2.08,Premium
282,US-2015-161991,Steven Cartwright,Consumer,Houston,Central,Technology,1114.4,Premium
283,CA-2015-130890,Jas O'Carroll,Consumer,Los Angeles,West,Furniture,1038.84,Premium
284,CA-2015-130883,Tracy Blumstein,Consumer,Portland,West,Office Supplies,141.76,Premium
285,CA-2015-130883,Tracy Blumstein,Consumer,Portland,West,Technology,,Premium
286,CA-2015-130883,Tracy Blumstein,Consumer,Portland,West,Office Supplies,31.104,Premium
287,CA-2016-112697,Alan Haines,Corporate,Tamarac,South,Office Supplies,254.058,Premium
288,CA-2016-112697,Alan Haines,Corporate,Tamarac,South,Office Supplies,194.528,Premium
289,CA-2016-112697,Alan Haines,Corporate,Tamarac,South,Office Supplies,961.48,Premium
290,CA-2016-110772,Nick Zandusky,Home Office,Columbus,East,Office Supplies,19.096,Premium
291,CA-2016-110772,Nick Zandusky,Home Office,Columbus,East,Office Supplies,18.496,Premium
292,CA-2016-110772,Nick Zandusky,Home Office,Columbus,East,Technology,255.984,Premium
293,CA-2016-110772,Nick Zandusky,Home Office,Columbus,East,Furniture,,Premium
294,CA-2014-111451,Kelly Lampkin,Corporate,Colorado Springs,West,Furniture,300.416,Premium
295,CA-2014-111451,Kelly Lampkin,Corporate,Colorado Springs,West,Furniture,230.352,Premium
296,CA-2014-111451,Kelly Lampkin,Corporate,Colorado Springs,West,Furniture,218.352,Premium
297,CA-2014-111451,Kelly Lampkin,Corporate,Colorado Springs,West,Office Supplies,78.6,Premium
298,CA-2014-111451,Kelly Lampkin,Corporate,Colorado Springs,West,Office Supplies,27.552,Premium
299,CA-2016-142545,Jonathan Doherty,Corporate,Belleville,East,Office Supplies,32.4,Premium
300,CA-2016-142545,Jonathan Doherty,Corporate,Belleville,East,Office Supplies,1082.48,Premium
